Région,1950,1960,1970,1980,1990,2000,2010,2020
Afrique,"9,0","9,4","9,9","10,8","11,9","13,3","15,1","17,2"
Afrique du Nord,"1,9","2,1","2,2","2,4","2,6","2,8","2,9","3,2"
Afrique subsaharienne,"7,1","7,3","7,7","8,4","9,3","10,5","12,1","14,0"
Amérique,"13,5","14,1","14,1","13,9","13,7","13,7","13,6","13,1"
Amérique du Nord,"6,8","6,8","6,2","5,7","5,3","5,1","4,9","4,7"
Amérique latine et Caraïbes,"6,7","7,3","7,8","8,2","8,4","8,6","8,6","8,4"
Asie,"55,4","56,1","57,8","59,3","60,4","60,7","60,3","59,5"
Asie centrale,"0,7","0,8","0,9","0,9","0,9","0,9","0,9","1,0"
Asie de l'Est,"26,7","26,5","26,9","26,7","26,1","24,6","22,9","21,5"
Asie de l'Ouest,"2,0","2,2","2,3","2,6","2,8","3,0","3,3","3,6"
Asie du Sud,"19,5","19,6","20,0","21,1","22,3","23,6","24,5","24,9"
Asie du Sud-Est,"6,5","7,0","7,6","8,0","8,3","8,5","8,6","8,6"
Europe,"21,7","20,0","17,8","15,6","13,5","11,8","10,6","9,6"
Océanie,"0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5"
